"Arrival Date","Bol Number","Carrier SCAC Code","Company Address","Company Country","Company Country Code","Company Website","Company Contact Info","Company Name","Company Total Shipments","Container Size","Container Type","Destination Port","Destination Port Code","Departure Port","Departure Port Code","Estimated Arrival Date","HS Code Full Description","HS Code","HS Code Description","Last Visit Foreign Port","Master Bol Number","Marks & Numbers","Marks Numbers Raw","Notify Party Address","Notify Party Country Code","Notify Party Name","Product Description","Product Description Raw","Quantity","Quantity Unit","Supplier Address","Supplier Country","Supplier Country Code","Supplier Name","Supplier Website","Supplier Contact Info","Supplier Total Shipments","TEU","Vessel Code","Vessel Name","Voyage","Weight"
"2024/05/30","OOLU2736337470","Oolu, Orient Overseas Container Line Inc","23832 Rockfield Blvd Suite 100 Lake Forest Ca United States","United States","US","","Phone Numbers:  --- Emails: ","B & D Seafoods Inc","12134","4000*900*800","45R1","New York/Newark Area, Newark, Nj","4601","Vung Tau","55206","20240520","","030261","","","OOLU2736337470","","","5580 S Alameda Street Vernon Ca United States","US","H&N Group Inc","Frozen Swai Fillet","Frozen Swai Fillet","1910","CTN","Bien Dong Seafood Co Ltd No 2 Tran Can Tho Vietnam","Vietnam","VN","Bien Dong Seafood Co Ltd","","Phone Numbers:  --- Emails: ","12921","2","9780861","Cma Cgm T. Jefferson","1tu7j","21583"
"2024/05/30","OOLU2736595501","Oolu, Orient Overseas Container Line Inc","1849 Kings View Dr Frisco Tx United States","United States","US","","Phone Numbers:  --- Emails: ","Zalo Fresh Inc","1990","4000*900*800","4530","New York/Newark Area, Newark, Nj","4601","Vung Tau","55206","20240520","Fish and crustaceans, molluscs and other aquatic invertebrates ; Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304 ; Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99 ; Yellowfin tunas (Thunnus albacares)","030232","Yellowfin tunas (Thunnus albacares)","","OOLU2736595501","","","505 N Brand Blvd Suite 210 Glendale Ca United States","US","Pegasus Shipping Inc","Frozen Msc Tasteless Smoke Yellowfin Tuna Steak","Frozen Msc Tasteless Smoke Yellowfin Tuna Steak","3449","CTN","Lot C Suoi Dau Industrial Zone Nha Trang Vietnam","Vietnam","VN","Dragon Waves Frozen Food Factory Co","","Phone Numbers:  --- Emails: ","1787","1.5","9780861","Cma Cgm T. Jefferson","1tu7j","17486"
"2024/05/30","OOLU2302221760","Oolu, Orient Overseas Container Line Inc","1865 Ord Wy San Diego Ca United States","United States","US","","Phone Numbers:  --- Emails: ","Lotus Seafood Inc","366","4000*900*800","45R1","Seattle, Wa","3001","Kao Hsiung","58309","20240531","Fish and crustaceans, molluscs and other aquatic invertebrates ; Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304 ; Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302.91 to 0302.99 ; Yellowfin tunas (Thunnus albacares)","030232","Yellowfin tunas (Thunnus albacares)","","OOLU2302221760","","","227 W Grand Ave El Segundo Ca United States","US","Flegenheimer International Inc","Frozen Yellowfin Tuna Steaks","Frozen Co Yellowfin Tuna Steaks","4001","CTN","Thien Ma Lot C4-3 Pham Van Xao Road Tho Qua Da Nang Vietnam","Vietnam","VN","Seafood Processing Factory","","Phone Numbers:  --- Emails: ","96","2","9229324","Gsl Christen","083w","20965"
"2024/05/30","FMSWDE2460240","Fmsw","383 Main Ave Suite 440 Norwalk Connecticut 06851 United States","United States","US","","Phone Numbers:  --- Emails: ","Binding Brauerei Usa Inc","6817","4000*900*800","4510","Norfolk, Va","1401","Anvers","42305","20240527","","030613","","","MEDUEI901020","","","","","","Stc Beer Reference Imperial","Stc Beer As Per Reference Number; 903991309/0065230487 1003661257 Imperial Dd. 07.05.2024 Net 14.712,46 Kg","1511","PKG","C/O Dortmunder Actien Brauerei Steigerstr 20 44145 Dortmund Germany","Germany","DE","Radeberger Gruppe Kg","","Phone Numbers:  --- Emails: ","6602","2","Orca I","Orca I","0419w","18278"
"2024/05/30","TSVCFR102860635","Tsvc, Transit Services","4775 Derrick Rd","United States","US","","Phone Numbers:  --- Emails: ","Arcadia Cold Storage And Logistics","52","4000*900*800","45R1","Savannah, Ga","1703","Le Havre","42737","20240530","","030624","","","CMDULHV3429573","Atl","Atl2026","70 E Sunrise Highway Suite 402","US","A N Deringer Inc","Frozen Brioches","Frozen Brioches","2415","PKG","Zone Artisanale Les Achards","France","FR","La Fournee Doree","","Phone Numbers:  --- Emails: ","9096","1.5","9690092","Seatrade Orange","0rpg9","7189"
"2024/05/30","EGLV140400535790","Eglv, Eagle Van Lines Inc","2 Charles Street Suite 1 C Providence Ri 02904","United States","US","","Phone Numbers:  --- Emails: ","Nordic Group Inc","1311","4000*900*800","45R1","Boston, Ma","0401","Qingdao","57047","20240525","","030360","","","EGLV140400535790","","The Same The Same The Same The Same The Same The Same The Same","420 Currant Road Fall River Ma 02720","US","Nova Cold Storage","Frozen Atlantic Cod Portions Frozen Atlantic Cod Portions Skinless Boneless Latin Name Gadus Morhua Solid Wood Vent Closed Reefer Temperature","Frozen Atlantic Cod Portions Frozen Atlantic Cod Portions Skinless Boneless Latin Name Gadus Morhua This Shipment Contains No Solid Wood Packing Materials Vent Closed Reefer Container Temperature Set At -25.0 C","4250","CTN","Jinling Industrial Park Chengyang District Qingdao China","China","CN","Qingdao Uzp Foods Processing Ltd","","Phone Numbers:  --- Emails: ","613","2","9595450","Ever Lasting","1156e","23610"
"2024/05/30","EGLV140400535757","Eglv, Eagle Van Lines Inc","2 Charles Street Suite 1 C Providence Ri 02904","United States","US","","Phone Numbers:  --- Emails: ","Nordic Group Inc","1311","4000*900*800","45R1","Boston, Ma","0401","Qingdao","57047","20240525","","030360","","","EGLV140400535757","","The Same The Same The Same The Same The Same The Same The Same The Same The Same The Same","420 Currant Road Fall River Ma 02720","US","Nova Cold Storage","Frozen Atlantic Cod Loins Skinless Frozen Atlantic Cod Loins Skinless Boneless Latin Name Gadus Morhua Sample Frozen Haddock Loins Skinless Boneless Latin Name Melanogrammus Aeglefinus Vent Closed Solid Wood Temperature Reefer","Frozen Atlantic Cod Loins Skinless Frozen Atlantic Cod Loins Skinless Boneless Latin Name Gadus Morhua Sample Frozen Haddock Loins Skinless Boneless Latin Name Melanogrammus Aeglefinus Vent Closed This Shipment Contains No Solid Wood Packing Materials Temperature Set At -25.0 C. Reefer Container","1815","CTN","Jinling Industrial Park Chengyang District Qingdao China","China","CN","Qingdao Uzp Foods Processing Ltd","","Phone Numbers:  --- Emails: ","613","2","9595450","Ever Lasting","1156e","24647"
"2024/05/30","QMIEMS10203","Qmie","965 Maryvale Drive Buffalo Ny 1422 5 Usa","United States","US","","Phone Numbers:  --- Emails: ","Arctic Fisheries Ltd","1081","4000*800*800","40U0","Boston, Ma","0401","Qingdao","57047","20240516","","030360","","","EGLV140400622064","","","150 Wood Rd Suite 404 Braintree M A 02184 Tel617-561-0442 Anne Kerr Anne@Babrokers Com","US","B&A Brokers","Frozen Msc Atlantic Cod Fillets","Frozen Msc Atlantic Cod Fillets","4400","CTN","Dajijia Yantai E T D Z Shandong C Hina","China","CN","Yantai Yongyuan Foodstuff Co Ltd","","Phone Numbers:  --- Emails: ","97","2","Ever Lasting","Ever Lasting","076e","23320"
"2024/05/30","COSU6378042190","Cosu, China Ocean Steamship Ltd","Suite 200 8450 Garvey Avenue Rosemead Ca 91770 United States","United States","US","","Phone Numbers:  --- Emails: ","Ntsf Company","2060","4000*900*800","45R1","New York/Newark Area, Newark, Nj","4601","Vung Tau","55206","20240527","","030261","","","COSU6378042190","","Nm","55 Amity Street Jersey City Nj 07304 United States","US","Koryeo International Corp","Frozen Swai Fillet Pangasianodon Hypophthalmus","Frozen Swai Fillet (Pangasianodon Hypophthalmus)","2160","CTN","Lot C1 C2 C3 C4 C5 Thot Not I Can Tho Can Tho Vietnam","Vietnam","VN","Ntsf Seafoods Joint Stock Company","","Phone Numbers:  --- Emails: ","1785","2","9780861","Cma Cgm T. Jefferson","1tu7i","23125"
"2024/05/30","CMDUTYO0609526","Cmdu, Compagnie Maritime Daffretemen","Los Angeles Office 13409 Orden Drive Santa Fe Springs Ca 90670-6336 U S A","United States","US","","Phone Numbers:  --- Emails: ","Wismettac Asian Foods Inc","29531","4000*900*800","45R1","Los Angeles, Ca","2704","Kobe","58840","20240529","Fish and crustaceans, molluscs and other aquatic invertebrates ; Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen ; Frozen fillets of other fish ; Other","030489","Other","","CMDUTYO0609526","Attached","-As Per Attached-","Los Angeles Office 13409 Orden Drive Santa Fe Springs Ca 90670-6336 U S A","US","Wismettac Asian Foods Inc","Cargo Stowed Refrigerated Sthe Requested Carrying Temperature Degrees Celsius Palletized Pallet Frozen Treated Yellowtail Fillet Attached Sheets Temperature Control Cargo Setting Temperature Reefer Cel Jpdl Sea Waybill Arranged Waybill Party Consignee","Cargo Is Stowed In A Refrigerated Container Sthe Shipper S Requested Carrying Temperature -20 Degrees Celsius Shipper S Load Count 1000 Packages (Palletized With 20 Pallet) Frozen Co Treated Yellowtail Fillet - As Per Attached Sheets - Temperature Control Cargo Setting Temperature Reefer -20Cel Invoice No.:Jpdl2404085-00 Sc No.:23-3961 Sea Waybill Freight Prepaid Hs Code:0304.89 Fax:424-246-2390 Freight Prepaid As Arranged Waybill Notify Party 2: (2)Same As Consignee","1000","CTN","3 2 1 Nihonbashi Muromachi Chuoku Tokyo 103-0022 Japan","Japan","JP","Wismettac Foods Inc","","Phone Numbers:  --- Emails: ","3213","2","9312999","Nyk Orion","0fjhu","20655"
