"Arrival Date","Bol Number","Carrier SCAC Code","Company Address","Company Country","Company Country Code","Company Website","Company Contact Info","Company Name","Company Total Shipments","Container Size","Container Type","Destination Port","Destination Port Code","Departure Port","Departure Port Code","Estimated Arrival Date","HS Code Full Description","HS Code","HS Code Description","Last Visit Foreign Port","Master Bol Number","Marks & Numbers","Marks Numbers Raw","Notify Party Address","Notify Party Country Code","Notify Party Name","Product Description","Product Description Raw","Quantity","Quantity Unit","Supplier Address","Supplier Country","Supplier Country Code","Supplier Name","Supplier Website","Supplier Contact Info","Supplier Total Shipments","TEU","Vessel Code","Vessel Name","Voyage","Weight"
"2024/05/30","HLCURTM240463861","Hlcu, Hapag-Lloyd A G","Engelandstraat Z/N Oranjestad Aruba","United States","US","","Phone Numbers:  --- Emails: ","Compra Ltd","153","2000*806*800","2210","Norfolk, Va","1401","Rotterdam","42157","20240528","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Milk and cream, not concentrated nor containing added sugar or other sweetening matter ; Of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent","040120","Of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent","","HLCURTM240463861","Country","0626866 0626859 0626873 Country Of Origin Be","Engelandstraat Z/N Oranjestad Aruba","US","Compra Ltd","Boxs Whole Milk Uht Whole Milk Uht Frisian Flag Tetrabrik Fat Min Boxs Semi Skimmed Milk Uht Frisian Flag Tetrabrik Fat Min Boxs Skimmed Milk Uht Frisian Flag Tetrabrik Fat Min","800 Boxs, Whole Milk Uht Whole Milk Uht Frisian Flag 12X1L Tetrabrik Fat (Min) 3,5% Hs Code 040120 10391.2Kgs 500 Boxs, Semi-Skimmed Milk Uht Frisian Flag 12X1L Tetrabrik Fat (Min) 1,5% Hs Code 040120 6506.5Kgs 500 Boxs, Skimmed Milk Uht Frisian Flag 12X1L Tetrabrik Fat (Min) 0,3% Hs Code 040110 6518.5Kgs","1800","PCS","Frisaxstraat 4 8471 Zw Wolvega Netherlands","Netherlands","NL","Frieslandcampina Export","","Phone Numbers:  --- Emails: ","8890","1.5","9294537","As Penelope","419s","23416"
"2024/05/30","TXSLGF240018864A","Txsl","1108 S Baldwin Ave Ste 202 Arca Dia Ca 91007 Usa","United States","US","","Phone Numbers:  --- Emails: ","Hdl Management Usa Corp","239","2000*806*800","22G1","Long Beach, Ca","2709","Shanghai","57035","20240529","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa ; Other","040390","Other","","COSU6382579830","","Ht2404053Lh No","1108 S Baldwin Ave Ste 202 Arca Dia Ca 91007 Usa","US","Hdl Management Usa Corp","Crispy Bamboo Shoots Pickled Peppers Indiam Cream Flavored Popcorn Indiam Caramel Flavored Popcorn","Crispy Bamboo Shoots With Pickled Peppers Indiam Cream Flavored Popcorn Indiam Caramel Flavored Popcorn 15Packages=9Pallets+6Cartons","15","PKG","Co 48 Ruan Jian Da Dao Nanjing China","China","CN","Jiangsu Soho International Group","","Phone Numbers:  --- Emails: ","5598","1","Cosco Kaohsiung","Cosco Kaohsiung","102e","3529"
"2024/05/30","EGLV149401544460","Eglv, Eagle Van Lines Inc","878 W Belleview Denver Co 80020 Us Camfoller@Gmail Com 1 562 888-3979","United States","US","","Phone Numbers:  --- Emails: ","Camfoller Inc","704","4000*900*800","45G1","New York/Newark Area, Newark, Nj","4601","Yantian","57078","20240529","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Milk and cream, concentrated or containing added sugar or other sweetening matter ; In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 percent ; Not containing added sugar or other sweetening matter","040221","Not containing added sugar or other sweetening matter","","EGLV149401544460","","The Same","5215 S Boyle Ave Vernon Ca 90058 Vernon Ca Us Oceandoc@Longocustoms Com Customs6@Longocustoms Com","US","Longo Customs Service","Store Content Ark Store Content Ark Solid Wooden","Store Content Ark Store Content Ark This Shipment Contains No Solid Wooden Packing Materials","435","CTN","Room 601 6/F Tung Hip Commercial Building 248 Des Voeux Road Central Sheung Wan Hk","China","CN","Aukey International Limited","","Phone Numbers:  --- Emails: ","24266","2","9780861","Cma Cgm T. Jefferson","1tu7i","22856"
"2024/05/30","EGLV149401598152","Eglv, Eagle Van Lines Inc","878 W Belleview Denver Co 80020 Us Camfoller@Gmail Com 1 562 888-3979","United States","US","","Phone Numbers:  --- Emails: ","Camfoller Inc","704","4000*900*800","45G0","New York/Newark Area, Newark, Nj","4601","Yantian","57078","20240529","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Milk and cream, concentrated or containing added sugar or other sweetening matter ; In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 percent ; Not containing added sugar or other sweetening matter","040221","Not containing added sugar or other sweetening matter","","EGLV149401598152","","The Same","5215 S Boyle Ave Vernon Ca 90058 Vernon Ca Us Oceandoc@Longocustoms Com Customs6@Longocustoms Com","US","Longo Customs Service","Store Content Ark Store Content Ark Solid Wooden","Store Content Ark Store Content Ark This Shipment Contains No Solid Wooden Packing Materials","415","CTN","Room 601 6/F Tung Hip Commercial Building 248 Des Voeux Road Central Sheung Wan Hk","China","CN","Aukey International Limited","","Phone Numbers:  --- Emails: ","24266","2","9780861","Cma Cgm T. Jefferson","1tu7i","23126"
"2024/05/30","EGLV149401590313","Eglv, Eagle Van Lines Inc","4021 Laurel Ct Chino Hills Ca 91709Ein#86-1863008 Phone:6268188710 Email:Gan Fulfillment888@Gmail Com Op@Zbao56 Com","United States","US","","Phone Numbers:  --- Emails: ","Gan Fulfillment Inc","10796","4000*900*800","45G0","Savannah, Ga","1703","Xiamen","57069","20240529","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Milk and cream, concentrated or containing added sugar or other sweetening matter ; In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 percent ; Not containing added sugar or other sweetening matter","040221","Not containing added sugar or other sweetening matter","","EGLV149401590313","","The Same","22632 Golden Springs Dr Ste 220 Diamond Bar Ca 91765 Phone: +1 626-537-0057 Email:Customs@Uqishippinginc Com","US","Uqi Shipping Inc","Store Content Ark Store Content Ark Table Folding Bed Solid Wooden","Store Content Ark Store Content Ark Table Folding Bed This Shipment Contains No Solid Wooden Packing Materials","650","CTN","Room 601 6/F Tung Hip Commercial Building 248 Des Voeux Road Central Sheung Wan Hk","China","CN","Aukey International Limited","","Phone Numbers:  --- Emails: ","24266","2","9850563","Ever Fortune","1248e","21504"
"2024/05/30","MEDUVF067932","Medu, Bcsl Us-Med Line Ltd.","4762 Borusan Rd Baytown Tx 77523 United States","United States","US","","Phone Numbers:  --- Emails: ","Ikea Supply Ag","982080","4000*900*800","4510","Houston, Tx","5301","Anvers","42305","20240530","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Butter and other fats and oils derived from milk; dairy spreads ; Butter","040510","Butter","","MEDUVF067932","","","The Navy Yard 5101 S Broad Street Philadelphia Pa 19112 United States","US","Geodis Usa Inc","Frame Tariff Frame Poster Tariff Glass Shelf Tariff Insert Compartments Tariff","Frame Total Pieces: 2262 Total Pallets: 71 Tariff No. 44149000 Frame With Poster Tariff No. 49119140 Glass Shelf Tariff No. 94039990 Insert With Compartments Tariff No. 44209065","2262","CTN","Ul Wojska Polskiego 118E Suwalki 16-400 Poland","Poland","PL","Padma Art Sp Z O O Sp K","","Phone Numbers:  --- Emails: ","3789","1.5","9314210","Maersk Tennessee","419w","6970"
"2024/05/30","HLCUNICOD00424AA","Hlcu, Hapag-Lloyd A G","Lipari Foods Warehouse 26661 Bunert Rd Warren Mi U S A Tel +15864473500 Karim_Hajjarlimarifoods Com;","United States","US","","Phone Numbers:  --- Emails: ","Lipari Foods Llc","2797","4000*900*800","4532","New York/Newark Area, Newark, Nj","4601","Piraieus","48452","20240527","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Cheese and curd ; Fresh (unripened or uncured) cheese, including whey cheese, and curd","040610","Fresh (unripened or uncured) cheese, including whey cheese, and curd","","HLCUNIC240400424","","","Lipari Foods Warehouse 26661 Bunert Rd Warren Mi U S A Tel +15864473500 Karim_Hajjarlimarifoods Com;","US","Lipari Foods Llc","Halloumi Cheese","Halloumi Cheese","1371","PCS","40 Athienou Industrial Area P O Box 47513 7610 Athienou Cyprus Tel 24524323 Fax 24524325","Cyprus","CY","Papouis Dairies Ltd","","Phone Numbers:  --- Emails: ","34","1.5","9440837","Zim Pacific","348w","15820"
"2024/05/30","RSECMHT24701291","Rsec, Rioseco, Arturo","Greek Farms Intl Llc 2632 2Nd Street Astoria Ny 11102 Usa Astoria Ny 11102 Us","United States","US","","Phone Numbers:  --- Emails: ","Terra Medi Llc","1646","4000*806*800","","New York/Newark Area, Newark, Nj","4601","Piraieus","48452","20240526","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Cheese and curd ; Other cheese","040690","Other cheese","","HLCUPI3240407535","","N A","423 Hazel Street Clifton Nj 07011 Clifton Nj 07011 Us","US","Kamino Air Import Corp","Feta Cheese Pdo","600 Packages On 10 Pallets With Feta Cheese Pdo Hs Code: 040690","600","PKG","3 5 Km Elassonas-Deskatis Elassona Thessalia 40200 Greece Elassona 40200 Gr","Greece","GR","E & K Exarhos","","Phone Numbers:  --- Emails: ","55","1.5","Zim Pacific","Zim Pacific","348w","9700"
"2024/05/30","COSU6383323512","Cosu, China Ocean Steamship Ltd","Hongwu Road Nanjing Jiangsu China Fnanjing Js 210000 China","United States","US","","Phone Numbers:  --- Emails: ","Jiangsu Datian International Transp","16","4000*900*800","45R1","New York/Newark Area, Newark, Nj","4601","Halifax, Ns","13841","20240527","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included ; Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter ; Egg yolks ; Dried","040811","Dried","","COSU6383323512","Cers","Cers Cc9441202405153 48922","Road Nanjing Jiangsu China Fnanjing Js 210000 China","US","Jiangsu Datian International Transp Hongwu","Cranberries Whole Dried Sweetened","Cranberries Whole Dried Sweetened","20","SKD","5285 Solar Drive Mississauga On L4W 5B8 Canada","Canada","CA","Hecny Transportation Canada","","Phone Numbers:  --- Emails: ","153","2","9780861","Cma Cgm T. Jefferson","1tu7i","22010"
"2024/05/30","SMLU8062978A","Smlu, Seaboard Marine Ltd","6301 Nw 5Th Way Ste 3400 Fort Lauderdale Fl 33309 Usa","United States","US","","Phone Numbers:  --- Emails: ","Carb/Americas Inc","3542","4000*900*800","4531","Miami, Fl","5201","Puerto Manzanillo","22556","20240530","","040040","","","SMLU8062978A","Reopa","Sn 002Au226927 Sn Reopa0000065 Sn","1400 Nw 79Th Ave Miami Fl 33126-1610 Usa","US","Advance Customs Brokers And","Fresh Green Asparagus Thermographs Mhbyn Mhbyn Temperatura Ventilation Closed Humidity Off Info Telefono","Boxes Fresh Green Asparagus P.A 0709.20.00.00 Net Weight 14000.00 Kg Thermographs Mhbyn040Xv Mhbyn040Kv Temperatura 2.0 C Ventilation Closed Humidity Off Co2 10% O2 10% Notify Info Telefono Fax (786) 476 - 0700 786) 476 - 0706","2800","BOX","Cal Naylamp 195 Cercado 2Do Piso Lambayeque Jayanca Peru Per","Peru","PE","Agricola Maquen Sac","","Phone Numbers:  --- Emails: ","165","1.5","9970947","Seaboard Globe","20","15400"
