"Arrival Date","Bol Number","Carrier SCAC Code","Company Address","Company Country","Company Country Code","Company Website","Company Contact Info","Company Name","Company Total Shipments","Container Size","Container Type","Destination Port","Destination Port Code","Departure Port","Departure Port Code","Estimated Arrival Date","HS Code Full Description","HS Code","HS Code Description","Last Visit Foreign Port","Master Bol Number","Marks & Numbers","Marks Numbers Raw","Notify Party Address","Notify Party Country Code","Notify Party Name","Product Description","Product Description Raw","Quantity","Quantity Unit","Supplier Address","Supplier Country","Supplier Country Code","Supplier Name","Supplier Website","Supplier Contact Info","Supplier Total Shipments","TEU","Vessel Code","Vessel Name","Voyage","Weight"
"2024/05/30","MAEU720139253","Maeu, Maersk Lines, Inc.","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","United States","US","","Phone Numbers:  --- Emails: ","Jbs Usa Food Company","37607","4000*906*802","4ER0","Philadelphia, Pa","1101","Salvador","35181","20240530","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MAEU720139253","","","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","US","Jbs Usa Food Company","Bon Eless Beef Carto Boneless Beef Due Proc Ruc Ncm Sif Sif Hipper Declaration Wooden Acking Duly Treated Certif Ied When Export Temperature Conta Iner Reefer High Cubic","1000 Cartons Containing: Bon Eless Beef - Af 90Cl 952 Carto Ns Net Weight: 25913.440 Kgs Gross Weight: 27155.800 Kgs Boneless Beef - Ah 90Cl 48 Cartons Net Weight: 1306.560 Kgs Gross Weight: 1369.200 Kgs 55769396-1 55769396-2 Due.: 24Br0007226584 Nf.: 399772,399773 Proc.: 492973 Ruc.: 4Br0291626520000000000 0000000465824 Ncm: 02023000 Seal Sif: 0023876/Sif49 S Hipper S Declaration: Wooden P Acking Duly Treated And Certif Ied When/If Used To Export By The Shipper Net Weight: 272 20.000 Kgs Temperature Conta Iner: 40 Reefer High Cubic (- 18C)","1000","CTN","Rod Br 376 Km 169 S/N Escolinha Nova Andradina Mato Grosso Do Sul Brasil 79 750-000/ Cnpj:","Brazil","BR","Jbs S/A","","Phone Numbers:  --- Emails: ","15221","2.12","9348065","Maersk Monte Alegre","418n","28525"
"2024/05/30","MAEU720112605","Maeu, Maersk Lines, Inc.","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","United States","US","","Phone Numbers:  --- Emails: ","Jbs Usa Food Company","37607","4000*906*802","4ER0","Philadelphia, Pa","1101","Sao Paulo","35177","20240530","Meat and edible meat offal ; Meat of bovine animals, fresh or chilled ; Boneless","020130","Boneless","","MAEU720112605","","","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","US","Jbs Usa Food Company","Chil Led Boneless Beef Striploin Eight Chilled Boneless Beef Ribeye Car Tons Shipped Board Declare Clean Due Proc Ruc Ncm Sif Sif Declar Ation Wooden Duly Tre Ated Certified When Use Export Mperature Reefe High Cubic Genset","865 Cartons Containing: Chil Led Boneless Beef - Striploin (8.8 Lb Up) 182 Cartons Net Weight: 3722.959 Kgs Gross W Eight: 3928.935 Kgs Chilled Boneless Beef - Ribeye 683 Car Tons Net Weight: 15015.304 K Gs Gross Weight: 15736.435 K Gs Shipped On Board, Declare D Clean By Shipper 55552297- 1 55552297-2 Due.: 24Br000 7234641 Nf.: 255400,255401 Proc.: 492938 Ruc.: 4Br0291 6265200000000000000000466429 Ncm: 02013000 Seal Sif: 021 095/Sif504 Shipper S Declar Ation: Wooden Packing Duly Tre Ated And Certified When/If Use D To Export By The Shipper Net Weight: 18738.263 Kgs Te Mperature Container: 40 Reefe R High Cubic (-1.4C) C/ Genset","865","CTN","Rua Principal Sn Vila Miisa Ituiutaba Minas Gerais Brasil 38 300-899/ Cnpj:","Brazil","BR","Jbs S/A","","Phone Numbers:  --- Emails: ","15221","2","9348065","Maersk Monte Alegre","418n","19665"
"2024/05/30","MAEU720127669","Maeu, Maersk Lines, Inc.","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","United States","US","","Phone Numbers:  --- Emails: ","Jbs Usa Food Company","37607","4000*906*802","4ER0","Philadelphia, Pa","1101","Sao Paulo","35177","20240530","Meat and edible meat offal ; Meat of bovine animals, fresh or chilled ; Boneless","020130","Boneless","","MAEU720127669","","","1770 Promontory Circle - Greeley - Co 80634-9038 0 Greeley Colorado U S A 0 Phone:","US","Jbs Usa Food Company","Chil Led Boneless Beef Striploin Eight Chilled Boneless Beef Tenderloin Chain Off Chille Boneless Beef Ribeye Artons Chilled Boneless Beef Tenderloin Chain Off Shipped Board Decla Red Clean Due Proc Ruc Ncm Sif Sif Decl Aration Wooden Duly Reated Certified When Sed Export Temperature Ree Fer High Cubic Gens","999 Cartons Containing: Chil Led Boneless Beef - Striploin (8.8 Lb Up) 133 Cartons Net Weight: 2727.201 Kgs Gross W Eight: 2877.985 Kgs Chilled Boneless Beef - Tenderloin 4/5 Lb Chain Off 136 Cartons Ne T Weight: 3339.434 Kgs Gross Weight: 3500.955 Kgs Chille D Boneless Beef - Ribeye 683 C Artons Net Weight: 15074.187 Kgs Gross Weight: 15779.085 Kgs Chilled Boneless Beef - Tenderloin 5 Lb Up Chain Off 47 Cartons Net Weight: 930.6 54 Kgs Gross Weight: 984.600 Kgs Shipped On Board, Decla Red Clean By Shipper 5555898 6-1 55558986-2 Due.: 24Br0 007464841 Nf.: 255591,255592 Proc.: 493713 Ruc.: 4Br02 916265200000000000000000481201 Ncm: 02013000 Seal Sif: 0 21164/Sif504 Shipper S Decl Aration: Wooden Packing Duly T Reated And Certified When/If U Sed To Export By The Shipper Net Weight: 22071.476 Kgs Temperature Container: 40 Ree Fer High Cubic (-1.4C) C/ Gens Et","999","CTN","Rua Principal Sn Vila Miisa Ituiutaba Minas Gerais Brasil 38 300-899/ Cnpj:","Brazil","BR","Jbs S/A","","Phone Numbers:  --- Emails: ","15221","2","9348065","Maersk Monte Alegre","418n","23143"
"2024/05/30","ONEYBLRE02308900","Oney","508 Sw 8Th St Bentonville Ar 7271 6 Usa Bentonville Ar Ar 72716 Us","United States","US","","Phone Numbers:  --- Emails: ","Wal Mart Inc","452573","2000*806*802","2CG0","Los Angeles, Ca","2704","Singapore","55976","20240530","Meat and edible meat offal ; Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen ; Of turkeys ; Not cut in pieces, fresh or chilled","020724","Not cut in pieces, fresh or chilled","","ONEYBLRE02308900","Cntr Trhu Carrir Ina Walmart Kwinb","P.O.No.:0820 413978 Cntr_No Trhu2458521 Carrir Seal Ina220183 Walmart Seal Kwinb77638","1201 W Olympic Blvd Floor 3 Los Angeles Ca 90015 Us","US","Ups Supply Chain Solutions","Whole Dills","Gv Whole Dills","1920","CAS","Sy No 68 Obalapura Village Anugondana Hobli Hoskot Bangalore South Ka","Portugal","PT","Global Green Co Ltd","","Phone Numbers:  --- Emails: ","5677","1","9312999","Nyk Orion","076e","15651"
"2024/05/30","MAEU238582240","Maeu, Maersk Lines, Inc.","5600 N River Rd Rosemont Il 60018 United States Of America","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*906*802","4ER0","Philadelphia, Pa","1101","Sao Paulo","35177","20240530","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MAEU238582240","Mark Minerva","Mark: Minerva","5600 N River Rd Rosemont Il 60018 United States Of America","US","Minerva Meats Usa Inc","Frozen Boneless Beef Wood Natura Organic Product Steer Company Street Philadelphia Mail Jones Steer Ncm Mga Uymvd Shipping Marks","Frozen Boneless Beef No Wood In Container Package - Natura L Organic Product Cu 884078 2Nd Notify: Steer Company 1227 N 4Th Street Philadelphia, P A. 19122 Tel: 215.922.6610 E Mail: V.Jones@Steer.Us.Com D Ua: 524054 Ncm: 02.02.30 N Et Weight: 25996.000 Kgs Mga P Seal: Uymvd177188 Freight Prepaid Ref: Uo/11724-3 - Uo /11724-3A - Shipping Marks: Uo /11724-3 - Uo/11724-3A","955","CTN","Camino Carrasco No 5 - Canelones Rut 210417550014","Uruguay","UY","Frigorifico Carrasco S A","","Phone Numbers:  --- Emails: ","2006","2.02","9348065","Maersk Monte Alegre","418n","26798"
"2024/05/30","MAEU238436849","Maeu, Maersk Lines, Inc.","5600 N River Rd Rosemont Il 60018 United States Of America","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*906*802","4ER0","Philadelphia, Pa","1101","Sao Paulo","35177","20240530","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MAEU238436849","Minerva Foods","Minerva Foods","5600 N River Rd Rosemont Il 60018 United States Of America","US","Minerva Meats Usa Inc","Frozen Boneless Beef Treated Certified Wood Conta Iner Natural Organ Product Shippin Marks Steer Compa Street Phila Delphia Jones Stee Dua Ncm Mgap Uymvd Recor Der Fre Ight","Frozen Boneless Beef Treated And Certified Wood In Conta Iner Package - Natural Organ Ic Product Cu 847143 Shippin G Marks: Uo/11622-1 - Uo/116 22-1A 2Nd Notify:Steer Compa Ny 1227 N 4Th Street Phila Delphia, Pa. 19122 Tel: 215. 922.6610 Email: V.Jones@Stee R.Us.Com Dua: 522403 Ncm: 02.02.30 Net Weight: 25206.0 00 Kgs Mgap Seal: Uymvd17555 6 Freight Prepaid T. Recor Der Number: 90901903 Fre Ight Prepaid","926","CTN","Camino Carrasco No 5 Canelones - Uruguay Rut: 210417550014","Uruguay","UY","Frigorifico Carrasco S A","","Phone Numbers:  --- Emails: ","2006","2","9348065","Maersk Monte Alegre","418n","25984"
"2024/05/30","MEDUUO443060","Medu, Bcsl Us-Med Line Ltd.","5600 N River Rd Rosemont Il 60018 United States","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*900*800","4532","Houston, Tx","5301","Sao Paulo","35177","20240523","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MEDUUO443060","","O/75391-9 O/75391-9A Same Same Same Same Same Same Same Same Same Same","1227 N 4Th Street Philadelphia Pa 19122 United States","US","John A Steer Co","Frozen Boneless Beef Brisket Deckle Off Frozenboneless Beef Brisket Deckle Off Cartonsshipped Boa Agreement Payable Santos Minerva Ncm Sif Sif Temperature Ruc Satel","01 Container 40 O/75391-9680 Cartons Frozen Boneless Beef Brisket 90 Vl Deckle Off Vp N. W. 16.178,550 Kgs O/75391-9A474 Cartons Frozenboneless Beef Brisket 90 Vl Deckle Off Vp N. W. 11.355,710 Kgs 1154 Cartonsshipped On Boa Rd Freight As Per Agreement Freight Payable In Santos By Minerva Net Weight 27.534,260 Kgs Gross Weight 28.630,560 Kgs Ncm 02023000 Hs Code 0202.30 Seal Sif 0087261Sif451 Temperature -18C Ruc: 4Br676203772Satel753919753 919 Hs Code:020230","1154","CTN","Av Braulino Basilio Maia 665 Jose Bonifacio Sp 15200000 Brazil","Brazil","BR","Minerva S A","","Phone Numbers:  --- Emails: ","5896","2.12","9214214","Gsl Arcadia","417n","28630"
"2024/05/30","MEDUUO474230","Medu, Bcsl Us-Med Line Ltd.","5600 N River Rd Rosemont Il 60018 United States","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*900*800","4532","Houston, Tx","5301","Sao Paulo","35177","20240523","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MEDUUO474230","","O/76190-13 O/76190-13A Same Same Same Same Same Same Same Same Same","1227 N 4Th Street Philadelphia Pa 19122 United States","US","John A Steer Co","Frozen Boneless Beef Kgso Frozen Boneless Beef Cartonsshipped Board Agreement Payable Santos Minerva Ncm Sif Sif Temperature Ruc Satel","01 Container 40 O/76190-13700 Cartons Frozen Boneless Beef A-Fh 90 Cl N. W. 19.054,000 Kgso/76190-13A314 Cartons Frozen Boneless Beef A-Fh 90 Cl N. W. 8.547,080 Kgs 1014 Cartonsshipped On Board Freight As Per Agreement Freight Payable In Santos By Minerva Net Weight 27.601,080 Kgs Gross Weight 28.473,035 Kgs Ncm 02023000 Hs Code 0202.30 Seal Sif 029157Sif1940 Temperature -18C Ruc: 4Br676203772Satel761901376 19013 Hs Code:020230","1014","CTN","Rod Br 153 Km 150 S/N Chac Sta Araguaina To 77804-970 Brazil","Brazil","BR","Minerva S A","","Phone Numbers:  --- Emails: ","5896","2.12","9214214","Gsl Arcadia","417n","28473"
"2024/05/30","MEDUUO473505","Medu, Bcsl Us-Med Line Ltd.","5600 N River Rd Rosemont Il 60018 United States","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*900*800","4532","Houston, Tx","5301","Sao Paulo","35177","20240523","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MEDUUO473505","","O/76191-1 O/76191-1A Same Same Same Same Same Same Same Same Same","1227 N 4Th Street Philadelphia Pa 19122 United States","US","John A Steer Co","Frozen Boneless Beef Frozen Boneless Beef Cartonsshipped Board Agreement Freightpayable Santos Minerva Ncm Sif Sif Temperature Ruc Satel","01 Container 40 O/76191-1698 Cartons Frozen Boneless Beef A-Fh 95 Cl N. W. 18.999,560 Kgs O/76191-1A315 Cartons Frozen Boneless Beef A-Fh 95 Cl N. W. 8.574,300 Kgs 1013 Cartonsshipped On Board Freight As Per Agreement Freightpayable In Santos By Minerva Net Weight 27.5 73,860 Kgs Gross Weight 28.447,785 Kgs Ncm 02 023000 Hs Code 0202.30 Seal Sif 029159Sif1940Temperature -18C Ruc: 4Br676203772Satel76191 1761 911 Hs Code:020230","1013","CTN","Rod Br 153 Km 150 S/N Chac Sta Araguaina To 77804-970 Brazil","Brazil","BR","Minerva S A","","Phone Numbers:  --- Emails: ","5896","2.12","9214214","Gsl Arcadia","417n","28447"
"2024/05/30","MAEU238582249","Maeu, Maersk Lines, Inc.","5600 N River Rd Rosemont Il 60018 United States Of America","United States","US","","Phone Numbers:  --- Emails: ","Minerva Meats Usa Inc","6885","4000*906*802","4ER0","Philadelphia, Pa","1101","Sao Paulo","35177","20240530","Meat and edible meat offal ; Meat of bovine animals, frozen ; Boneless","020230","Boneless","","MAEU238582249","Minerva Foods","Minerva Foods","5600 N River Rd Rosemont Il 60018 United States Of America","US","Minerva Meats Usa Inc","Frozen Boneless Beef Treated Certified Wood Conta Iner Natural Organ Product Shippin Marks Steer Compan Street Philad Elphia Jones Steer Dua Ncm Mgap Uymvd Record","Frozen Boneless Beef Treated And Certified Wood In Conta Iner Package - Natural Organ Ic Product Cu 021029 Shippin G Marks: Uo/11440-5 - Uo/114 40-5A 2Nd Notify:Steer Compan Y 1227 N 4Th Street Philad Elphia, Pa. 19122 Tel: 215.9 22.6610 Email: V.Jones@Steer .Us.Com Dua: 524287 Ncm: 0 2.02.30 Net Weight: 25995.00 0 Kgs Mgap Seal: Uymvd179214 Freight Prepaid T. Record Er Number: 90906028","955","CTN","Pando S/N Y Ameglio Canelones - Uruguay Rut: 210137360010","Uruguay","UY","Frigorifico Canelones S A","","Phone Numbers:  --- Emails: ","1072","2.02","9348065","Maersk Monte Alegre","418n","26797"
