"Arrival Date","Bol Number","Carrier SCAC Code","Company Address","Company Country","Company Country Code","Company Website","Company Contact Info","Company Name","Company Total Shipments","Container Size","Container Type","Destination Port","Destination Port Code","Departure Port","Departure Port Code","Estimated Arrival Date","HS Code Full Description","HS Code","HS Code Description","Last Visit Foreign Port","Master Bol Number","Marks & Numbers","Marks Numbers Raw","Notify Party Address","Notify Party Country Code","Notify Party Name","Product Description","Product Description Raw","Quantity","Quantity Unit","Supplier Address","Supplier Country","Supplier Country Code","Supplier Name","Supplier Website","Supplier Contact Info","Supplier Total Shipments","TEU","Vessel Code","Vessel Name","Voyage","Weight"
"2024/05/30","FLXTEXP03292425","Flxt, Flexible Transportation Inc","2605 North Berkeley Lake Road Building 100 Suite 350","United States","US","","Phone Numbers:  --- Emails: ","A&D Engineering Inc","1104","4000*900*800,4000*900*800","45104510","Los Angeles, Ca","2704","Tokyo","58886","20240525","Live animals ; Live swine ; Other ; Weighing 50 kg or more each","010392","Weighing 50 kg or more each","","HLCUTYO240318664","",",38 Hs Code9018.19, 9016.00, 8423.82, 9031.8","2605 North Berkeley Lake Road Building 100 Suite 350","US","A&D Engineering Inc","Weighing Instruments","Weighing Instruments Invoice No. 5500068521-70, 9026.80, 8479.89, 9027.89, 8483.50, 9033.00, 8507.50, 5910.00, 8423.81","2385","CTN","3-23-14 Higashi-Ikebukuro Toshima-Ku","Japan","JP","A&D Co Ltd","","Phone Numbers:  --- Emails: ","768","3","9312999","Nyk Orion","076e","17055"
"2024/05/30","COSU638360584001","Cosu, China Ocean Steamship Ltd","555 S Promenade Ave Ste 105 Corona Ca92879 Corona Riverside Californ Ia United States 92879","United States","US","","Phone Numbers:  --- Emails: ","Amzey Inc","215","4500*906*800","L5G1","Long Beach, Ca","2709","Shanghai","57035","20240529","","010690","","","COSU6383605840","","","555 S Promenade Ave Ste 105 Corona Ca92879 Corona Riverside Californ Ia United States 92879","US","Amzey Inc","Dried Bsf Larvae","Dried Bsf Larvae","1840","CTN","No 77 Middle Section Tailou Road Maoci South Village Liangzhuang Tai An Tai An Shandong China 271","China","CN","Taian Pengfei Pet Food Co Ltd","","Phone Numbers:  --- Emails: ","79","1.62","9355563","Cosco Kaohsiung","102e","12200"
"2024/05/30","ONEYPNHE07436600","Oney","8320 E Hartford Drive Scottsdale Az85255 Us","United States","US","","Phone Numbers:  --- Emails: ","American Pacific Industries Inc","14050","4000*900*800","45G1","Los Angeles, Ca","2704","Singapore","55976","20240530","","010612","","","ONEYPNHE07436600","","","8320 E Hartford Drive Scottsdale Az85255 Us","US","American Pacific Industries Inc","Advanta Brand Tires Purchase","Advanta Brand Tires Purchase Order Po#16","758","PCS","No 4 Sihanoukville 18000 Kh","Cambodia","KH","General Tires Technology Cambodia Co Ltd","","Phone Numbers:  --- Emails: ","1253","1.5","9312999","Nyk Orion","076e","8855"
"2024/05/30","CHSL472710875TAO","Chsl, Chisley Motor Coaches","4105 Rock Quarry Rd","United States","US","","Phone Numbers:  --- Emails: ","Manna Pro Dba Hero Pet Brands","1715","4000*900*800","4500","Long Beach, Ca","2709","Qingdao","57047","20240529","","010210","","","CMDUQGD0834528","","","","","","Vibrant Life Male Wrap","Vibrant Life Male Wrap Sm 12Ct 3Pk","10600","PKG","Road And Industrial Three Road Intersection","China","CN","Shandong Aishule Hygiene Products C Northwest Corner Qiyang","","Phone Numbers:  --- Emails: ","1429","1.5","9355563","Cosco Kaohsiung","102e","9646"
"2024/05/30","TZWH62404100301","Tzwh","1011 1St St W","United States","US","","Phone Numbers:  --- Emails: ","Debra Peterson","9","2000*806*800","","Long Beach, Ca","2709","Yantian","57078","20240430","","010639","","","ZIMUSHH31226833","Marks","No-Marks","","","","Bird Cage","Bird Cage","1","PCS","World Trade Center 2 Shimao East Ro","China","CN","Hainan Golden Shell Co Ltd","","Phone Numbers:  --- Emails: ","428755","0.21","Seaspan Chiba","Seaspan Chiba","78e","2"
"2024/05/30","TZWH62404149847","Tzwh","67 Cr N9005","United States","US","","Phone Numbers:  --- Emails: ","Patricia Thornton","9","2000*806*800","","Long Beach, Ca","2709","Yantian","57078","20240430","","010639","","","ZIMUSHH31226944","Marks","No-Marks","","","","Bird Cage","Bird Cage","1","PCS","World Trade Center 2 Shimao East Ro","China","CN","Hainan Golden Shell Co Ltd","","Phone Numbers:  --- Emails: ","428755","0.15","Seaspan Chiba","Seaspan Chiba","78e","1"
"2024/05/30","TZWH62404158771","Tzwh","4475 South Hwy 333","United States","US","","Phone Numbers:  --- Emails: ","Sharon Triplett","1","2000*806*800","","Long Beach, Ca","2709","Yantian","57078","20240430","","010639","","","ZIMUSHH31226945","Marks","No-Marks","","","","Bird Cage","Bird Cage","1","PCS","World Trade Center 2 Shimao East Ro","China","CN","Hainan Golden Shell Co Ltd","","Phone Numbers:  --- Emails: ","428755","0.15","Seaspan Chiba","Seaspan Chiba","78e","1"
"2024/05/30","SMLU8073838A","Smlu, Seaboard Marine Ltd","1247 Nw 21St St Miami Fl 33142-7725 Usa","United States","US","","Phone Numbers:  --- Emails: ","Intercontinental Market Inc","65978","4000*900*800","4532","Miami, Fl","5201","Puerto Manzanillo","22556","20240530","Live animals ; Live swine ; Other ; Weighing less than 50 kg each","010391","Weighing less than 50 kg each","","SMLU8073838A","","","3650 Nw 82Nd Ave Ste 308 Miami Fl 33166 Usa","US","Priority Customs Broker Inc","Bags Fresh Pumking Ventilacion Temperatura","Bags Fresh Pumking To 12.7 Kg Ventilacion (Cbm Hr) 25% Temperatura 50 F","2000","BAG","Km 7 Carretera Nacional Via A Pese Herrera Panama Pan","Panama","PA","Panama Squash","","Phone Numbers:  --- Emails: ","416","2","9970947","Seaboard Globe","20","25400"
"2024/05/30","TZWH62404165561","Tzwh","732 Harper Joy Rd","United States","US","","Phone Numbers:  --- Emails: ","Lisa Dean","4","2000*806*800","","Long Beach, Ca","2709","Yantian","57078","20240430","","010639","","","ZIMUSHH31226945","Marks","No-Marks","","","","Bird Cage","Bird Cage","1","PCS","World Trade Center 2 Shimao East Ro","China","CN","Hainan Golden Shell Co Ltd","","Phone Numbers:  --- Emails: ","428755","1","Seaspan Chiba","Seaspan Chiba","78e","17"
"2024/05/30","HAWIEU6580530015","Hawi, Hawthorne, Leland R & Son Inc","55 Schoenbar Court #101","United States","US","","Phone Numbers:  --- Emails: ","Nadm C/O Claa","25","15*12*12","","Ketchikan, Ak","3102","Victoria, Bc","12494","20240530","","010612","","","HAWIEU6580530015","Usd","$393.36 Usd","","","","Waiter Pad Breakfast Cover Each Bulk Kellogs Raisin Brand Pack","Waiter Order Pad Breakfast With Cover Each 50Bulk Kellogs Raisin Brand Pack Of 43 Oz","4","BOX","55 Schoenbar Court #101","Brazil","BR","Ketchikan Logistics Claa","","Phone Numbers:  --- Emails: ","58","1.36","Eurodam","Eurodam","658b","24"
